moeda,preco,cidade,cultura,vencimento
Real,101.5365,AGUA BOA-MT,SOJA,30/05/2025
Real,106.38225,RONDONOPOLIS-MT,SOJA,30/05/2025
Real,99.606,CAMPO NOVO PARECIS-MT,SOJA,30/05/2025
Real,98.64075,SORRISO-MT,SOJA,30/05/2025
Real,97.422,JUARA-MT,SOJA,30/05/2025
Real,97.5195,BRASNORTE-MT,SOJA,30/05/2025
Real,97.617,SINOP-MT,SOJA,30/05/2025
Real,97.84124999999999,QUERENCIA-MT,SOJA,30/05/2025
Real,103.67175,PRIMAVERA DO LESTE-MT,SOJA,30/05/2025
Real,102.5115,NOVA MUTUM-MT,SOJA,30/05/2025
Real,100.08375000000001,CANARANA-MT,SOJA,30/05/2025
Real,114.62100000000001,SÃO GABRIEL-MT,SOJA,30/05/2025
Real,116.07374999999999,DOURADOS-MS,SOJA,30/05/2025
Real,123.9615,CRUZ ALTA-RS,SOJA,30/05/2025
Real,124.8,SANTA MARIA-RS,SOJA,30/05/2025
Real,111.15,VILHENA-RO,SOJA,30/05/2025
Real,123.05475,CAMPO MOURAO-PR,SOJA,30/05/2025
Real,123.5715,CASCAVEL-PR,SOJA,30/05/2025
Real,110.175,LUIS EDUARDO MAGALHAES-BA,SOJA,30/05/2025
Real,110.175,BARREIRAS-BA,SOJA,30/05/2025
Real,111.6375,PARAGOMINAS-PA,SOJA,30/05/2025
Real,112.6125,TAILÂNDIA-PA,SOJA,30/05/2025
Real,110.175,DOM ELISEU-PA,SOJA,30/05/2025
Real,109.6875,RONDON DO PARÁ-PA,SOJA,30/05/2025
Real,108.7125,AÇAILÂNDIA-MA,SOJA,30/05/2025
Real,106.938,AGUA BOA-MT,SOJA,30/06/2025
Real,111.00375,RONDONOPOLIS-MT,SOJA,30/06/2025
Real,104.54925,CAMPO NOVO PARECIS-MT,SOJA,30/06/2025
Real,104.3445,SORRISO-MT,SOJA,30/06/2025
Real,103.74000000000001,JUARA-MT,SOJA,30/06/2025
Real,103.8375,BRASNORTE-MT,SOJA,30/06/2025
Real,104.0325,SINOP-MT,SOJA,30/06/2025
Real,104.44200000000001,QUERENCIA-MT,SOJA,30/06/2025
Real,109.28775,PRIMAVERA DO LESTE-MT,SOJA,30/06/2025
Real,105.89475,NOVA MUTUM-MT,SOJA,30/06/2025
Real,102.98925,CANARANA-MT,SOJA,30/06/2025
Real,116.56125,SÃO GABRIEL-MT,SOJA,30/06/2025
Real,119.46675,DOURADOS-MS,SOJA,30/06/2025
Real,127.46175,CRUZ ALTA-RS,SOJA,30/06/2025
Real,128.2125,SANTA MARIA-RS,SOJA,30/06/2025
Real,113.1,VILHENA-RO,SOJA,30/06/2025
Real,127.725,CAMPO MOURAO-PR,SOJA,30/06/2025
Real,128.2125,CASCAVEL-PR,SOJA,30/06/2025
Real,114.075,LUIS EDUARDO MAGALHAES-BA,SOJA,30/06/2025
Real,114.075,BARREIRAS-BA,SOJA,30/06/2025
Real,112.6125,PARAGOMINAS-PA,SOJA,30/06/2025
Real,113.5875,TAILÂNDIA-PA,SOJA,30/06/2025
Real,111.15,DOM ELISEU-PA,SOJA,30/06/2025
Real,110.6625,RONDON DO PARÁ-PA,SOJA,30/06/2025
Real,109.6875,AÇAILÂNDIA-MA,SOJA,30/06/2025
Real,107.3475,AGUA BOA-MT,SOJA,30/04/2026
Real,111.21825,RONDONOPOLIS-MT,SOJA,30/04/2026
Real,106.38225,CAMPO NOVO PARECIS-MT,SOJA,30/04/2026
Real,106.275,SORRISO-MT,SOJA,30/04/2026
Real,104.832,JUARA-MT,SOJA,30/04/2026
Real,104.9295,BRASNORTE-MT,SOJA,30/04/2026
Real,106.18724999999999,SINOP-MT,SOJA,30/04/2026
Real,107.3475,QUERENCIA-MT,SOJA,30/04/2026
Real,110.253,PRIMAVERA DO LESTE-MT,SOJA,30/04/2026
Real,107.835,NOVA MUTUM-MT,SOJA,30/04/2026
Real,106.38225,CANARANA-MT,SOJA,30/04/2026
Real,117.47775,SÃO GABRIEL-MT,SOJA,30/04/2026
Real,120.38325,DOURADOS-MS,SOJA,30/04/2026
Real,127.725,CRUZ ALTA-RS,SOJA,30/04/2026
Real,129.1875,SANTA MARIA-RS,SOJA,30/04/2026
Real,109.6875,VILHENA-RO,SOJA,30/04/2026
Real,125.775,CAMPO MOURAO-PR,SOJA,30/04/2026
Real,126.2625,CASCAVEL-PR,SOJA,30/04/2026
Real,117.0,LUIS EDUARDO MAGALHAES-BA,SOJA,30/04/2026
Real,117.0,BARREIRAS-BA,SOJA,30/04/2026
Real,116.5125,PARAGOMINAS-PA,SOJA,30/04/2026
Real,118.4625,TAILÂNDIA-PA,SOJA,30/04/2026
Real,115.5375,DOM ELISEU-PA,SOJA,30/04/2026
Real,114.5625,RONDON DO PARÁ-PA,SOJA,30/04/2026
Real,113.5875,AÇAILÂNDIA-MA,SOJA,30/04/2026
Real,108.32249999999999,AGUA BOA-MT,SOJA,30/05/2026
Real,112.19324999999999,RONDONOPOLIS-MT,SOJA,30/05/2026
Real,107.3475,CAMPO NOVO PARECIS-MT,SOJA,30/05/2026
Real,107.29875,SORRISO-MT,SOJA,30/05/2026
Real,106.77225,JUARA-MT,SOJA,30/05/2026
Real,106.86975,BRASNORTE-MT,SOJA,30/05/2026
Real,107.05499999999999,SINOP-MT,SOJA,30/05/2026
Real,108.32249999999999,QUERENCIA-MT,SOJA,30/05/2026
Real,111.21825,PRIMAVERA DO LESTE-MT,SOJA,30/05/2026
Real,108.80025,NOVA MUTUM-MT,SOJA,30/05/2026
Real,106.86975,CANARANA-MT,SOJA,30/05/2026
Real,119.418,SÃO GABRIEL-MT,SOJA,30/05/2026
Real,122.31375,DOURADOS-MS,SOJA,30/05/2026
Real,128.7,CRUZ ALTA-RS,SOJA,30/05/2026
Real,129.675,SANTA MARIA-RS,SOJA,30/05/2026
Real,110.175,VILHENA-RO,SOJA,30/05/2026
Real,126.75,CAMPO MOURAO-PR,SOJA,30/05/2026
Real,127.2375,CASCAVEL-PR,SOJA,30/05/2026
Real,117.975,LUIS EDUARDO MAGALHAES-BA,SOJA,30/05/2026
Real,117.975,BARREIRAS-BA,SOJA,30/05/2026
Real,117.4875,PARAGOMINAS-PA,SOJA,30/05/2026
Real,119.4375,TAILÂNDIA-PA,SOJA,30/05/2026
Real,116.5125,DOM ELISEU-PA,SOJA,30/05/2026
Real,115.5375,RONDON DO PARÁ-PA,SOJA,30/05/2026
Real,114.5625,AÇAILÂNDIA-MA,SOJA,30/05/2026
Dólar,17.416209262435675,AGUA BOA-MT,SOJA,30/05/2025
Dólar,18.24738421955403,RONDONOPOLIS-MT,SOJA,30/05/2025
Dólar,17.08507718696398,CAMPO NOVO PARECIS-MT,SOJA,30/05/2025
Dólar,16.91951114922813,SORRISO-MT,SOJA,30/05/2025
Dólar,16.710463121783878,JUARA-MT,SOJA,30/05/2025
Dólar,16.727186963979417,BRASNORTE-MT,SOJA,30/05/2025
Dólar,16.74391080617496,SINOP-MT,SOJA,30/05/2025
Dólar,16.782375643224697,QUERENCIA-MT,SOJA,30/05/2025
Dólar,17.78246140651801,PRIMAVERA DO LESTE-MT,SOJA,30/05/2025
Dólar,17.583447684391082,NOVA MUTUM-MT,SOJA,30/05/2025
Dólar,17.167024013722127,CANARANA-MT,SOJA,30/05/2025
Dólar,18.193809523809524,SÃO GABRIEL-MT,SOJA,30/05/2025
Dólar,18.42440476190476,DOURADOS-MS,SOJA,30/05/2025
Dólar,19.67642857142857,CRUZ ALTA-RS,SOJA,30/05/2025
Dólar,19.80952380952381,SANTA MARIA-RS,SOJA,30/05/2025
Dólar,17.642857142857142,VILHENA-RO,SOJA,30/05/2025
Dólar,19.5325,CAMPO MOURAO-PR,SOJA,30/05/2025
Dólar,19.61452380952381,CASCAVEL-PR,SOJA,30/05/2025
Dólar,17.488095238095237,LUIS EDUARDO MAGALHAES-BA,SOJA,30/05/2025
Dólar,17.488095238095237,BARREIRAS-BA,SOJA,30/05/2025
Dólar,17.720238095238095,PARAGOMINAS-PA,SOJA,30/05/2025
Dólar,17.875,TAILÂNDIA-PA,SOJA,30/05/2025
Dólar,17.488095238095237,DOM ELISEU-PA,SOJA,30/05/2025
Dólar,17.410714285714285,RONDON DO PARÁ-PA,SOJA,30/05/2025
Dólar,17.255952380952383,AÇAILÂNDIA-MA,SOJA,30/05/2025
Dólar,18.34271012006861,AGUA BOA-MT,SOJA,30/06/2025
Dólar,19.04009433962264,RONDONOPOLIS-MT,SOJA,30/06/2025
Dólar,17.93297598627787,CAMPO NOVO PARECIS-MT,SOJA,30/06/2025
Dólar,17.897855917667236,SORRISO-MT,SOJA,30/06/2025
Dólar,17.79416809605489,JUARA-MT,SOJA,30/06/2025
Dólar,17.81089193825043,BRASNORTE-MT,SOJA,30/06/2025
Dólar,17.84433962264151,SINOP-MT,SOJA,30/06/2025
Dólar,17.91457975986278,QUERENCIA-MT,SOJA,30/06/2025
Dólar,18.745754716981132,PRIMAVERA DO LESTE-MT,SOJA,30/06/2025
Dólar,18.163765008576327,NOVA MUTUM-MT,SOJA,30/06/2025
Dólar,17.665394511149227,CANARANA-MT,SOJA,30/06/2025
Dólar,18.501785714285713,SÃO GABRIEL-MT,SOJA,30/06/2025
Dólar,18.96297619047619,DOURADOS-MS,SOJA,30/06/2025
Dólar,20.23202380952381,CRUZ ALTA-RS,SOJA,30/06/2025
Dólar,20.351190476190478,SANTA MARIA-RS,SOJA,30/06/2025
Dólar,17.952380952380956,VILHENA-RO,SOJA,30/06/2025
Dólar,19.5325,CAMPO MOURAO-PR,SOJA,30/06/2025
Dólar,20.351190476190478,CASCAVEL-PR,SOJA,30/06/2025
Dólar,18.107142857142858,LUIS EDUARDO MAGALHAES-BA,SOJA,30/06/2025
Dólar,18.107142857142858,BARREIRAS-BA,SOJA,30/06/2025
Dólar,17.875,PARAGOMINAS-PA,SOJA,30/06/2025
Dólar,18.029761904761905,TAILÂNDIA-PA,SOJA,30/06/2025
Dólar,17.642857142857142,DOM ELISEU-PA,SOJA,30/06/2025
Dólar,17.56547619047619,RONDON DO PARÁ-PA,SOJA,30/06/2025
Dólar,17.410714285714285,AÇAILÂNDIA-MA,SOJA,30/06/2025
Dólar,17.03928571428571,AGUA BOA-MT,SOJA,30/04/2026
Dólar,17.653690476190473,RONDONOPOLIS-MT,SOJA,30/04/2026
Dólar,16.88607142857143,CAMPO NOVO PARECIS-MT,SOJA,30/04/2026
Dólar,16.869047619047617,SORRISO-MT,SOJA,30/04/2026
Dólar,16.64,JUARA-MT,SOJA,30/04/2026
Dólar,16.65547619047619,BRASNORTE-MT,SOJA,30/04/2026
Dólar,16.85511904761905,SINOP-MT,SOJA,30/04/2026
Dólar,17.03928571428571,QUERENCIA-MT,SOJA,30/04/2026
Dólar,17.500476190476192,PRIMAVERA DO LESTE-MT,SOJA,30/04/2026
Dólar,17.116666666666664,NOVA MUTUM-MT,SOJA,30/04/2026
Dólar,16.88607142857143,CANARANA-MT,SOJA,30/04/2026
Dólar,18.647261904761905,SÃO GABRIEL-MT,SOJA,30/04/2026
Dólar,19.108452380952382,DOURADOS-MS,SOJA,30/04/2026
Dólar,20.273809523809526,CRUZ ALTA-RS,SOJA,30/04/2026
Dólar,20.50595238095238,SANTA MARIA-RS,SOJA,30/04/2026
Dólar,17.410714285714285,VILHENA-RO,SOJA,30/04/2026
Dólar,19.964285714285715,CAMPO MOURAO-PR,SOJA,30/04/2026
Dólar,20.041666666666668,CASCAVEL-PR,SOJA,30/04/2026
Dólar,18.571428571428573,LUIS EDUARDO MAGALHAES-BA,SOJA,30/04/2026
Dólar,18.571428571428573,BARREIRAS-BA,SOJA,30/04/2026
Dólar,18.49404761904762,PARAGOMINAS-PA,SOJA,30/04/2026
Dólar,18.803571428571427,TAILÂNDIA-PA,SOJA,30/04/2026
Dólar,18.339285714285715,DOM ELISEU-PA,SOJA,30/04/2026
Dólar,18.18452380952381,RONDON DO PARÁ-PA,SOJA,30/04/2026
Dólar,18.029761904761905,AÇAILÂNDIA-MA,SOJA,30/04/2026
Dólar,14.926858134920636,AGUA BOA-MT,SOJA,30/05/2026
Dólar,15.460248115079366,RONDONOPOLIS-MT,SOJA,30/05/2026
Dólar,14.792502976190475,CAMPO NOVO PARECIS-MT,SOJA,30/05/2026
Dólar,14.785785218253968,SORRISO-MT,SOJA,30/05/2026
Dólar,14.713233432539683,JUARA-MT,SOJA,30/05/2026
Dólar,14.726668948412698,BRASNORTE-MT,SOJA,30/05/2026
Dólar,14.752196428571427,SINOP-MT,SOJA,30/05/2026
Dólar,14.926858134920636,QUERENCIA-MT,SOJA,30/05/2026
Dólar,15.325892956349204,PRIMAVERA DO LESTE-MT,SOJA,30/05/2026
Dólar,14.992692162698415,NOVA MUTUM-MT,SOJA,30/05/2026
Dólar,14.726668948412698,CANARANA-MT,SOJA,30/05/2026
Dólar,16.455819841269843,SÃO GABRIEL-MT,SOJA,30/05/2026
Dólar,16.854854662698415,DOURADOS-MS,SOJA,30/05/2026
Dólar,17.73488095238095,CRUZ ALTA-RS,SOJA,30/05/2026
Dólar,17.86923611111111,SANTA MARIA-RS,SOJA,30/05/2026
Dólar,15.182132936507937,VILHENA-RO,SOJA,30/05/2026
Dólar,17.466170634920637,CAMPO MOURAO-PR,SOJA,30/05/2026
Dólar,17.533348214285716,CASCAVEL-PR,SOJA,30/05/2026
Dólar,16.256974206349206,LUIS EDUARDO MAGALHAES-BA,SOJA,30/05/2026
Dólar,16.256974206349206,BARREIRAS-BA,SOJA,30/05/2026
Dólar,16.189796626984126,PARAGOMINAS-PA,SOJA,30/05/2026
Dólar,16.458506944444444,TAILÂNDIA-PA,SOJA,30/05/2026
Dólar,16.055441468253967,DOM ELISEU-PA,SOJA,30/05/2026
Dólar,15.92108630952381,RONDON DO PARÁ-PA,SOJA,30/05/2026
Dólar,15.786731150793653,AÇAILÂNDIA-MA,SOJA,30/05/2026
